year,number_of_households,cid,income_quartile
2023,23572,11,1
2023,28886,11,2
2023,34069,11,3
2023,35803,11,4
2023,115706,35,1
2023,109965,35,2
2023,101772,35,3
2023,108858,35,4
2023,53069,49,1
2023,53645,49,2
2023,58057,49,3
2023,55180,49,4
2023,27342,57,1
2023,25874,57,2
2023,23415,57,3
2023,17352,57,4
2024,23907,11,1
2024,29296,11,2
2024,34553,11,3
2024,36312,11,4
2024,117973,35,1
2024,112120,35,2
2024,103766,35,3
2024,110991,35,4
2024,55157,49,1
2024,55755,49,2
2024,60341,49,3
2024,57351,49,4
2024,27693,57,1
2024,26206,57,2
2024,23715,57,3
2024,17574,57,4
2025,24360,11,1
2025,29852,11,2
2025,35208,11,3
2025,37000,11,4
2025,120046,35,1
2025,114090,35,2
2025,105590,35,3
2025,112941,35,4
2025,57396,49,1
2025,58019,49,2
2025,62790,49,3
2025,59679,49,4
2025,28116,57,1
2025,26607,57,2
2025,24078,57,3
2025,17843,57,4
2026,24807,11,1
2026,30400,11,2
2026,35854,11,3
2026,37679,11,4
2026,122086,35,1
2026,116029,35,2
2026,107384,35,3
2026,114861,35,4
2026,59740,49,1
2026,60388,49,2
2026,65355,49,3
2026,62116,49,4
2026,28529,57,1
2026,26997,57,2
2026,24431,57,3
2026,18105,57,4
2027,25260,11,1
2027,30955,11,2
2027,36509,11,3
2027,38367,11,4
2027,124112,35,1
2027,117954,35,2
2027,109166,35,3
2027,116766,35,4
2027,62157,49,1
2027,62832,49,2
2027,67999,49,3
2027,64629,49,4
2027,28939,57,1
2027,27386,57,2
2027,24783,57,3
2027,18366,57,4
2028,25724,11,1
2028,31523,11,2
2028,37179,11,3
2028,39071,11,4
2028,126114,35,1
2028,119857,35,2
2028,110927,35,3
2028,118650,35,4
2028,64581,49,1
2028,65281,49,2
2028,70651,49,3
2028,67149,49,4
2028,29354,57,1
2028,27778,57,2
2028,25138,57,3
2028,18629,57,4
2029,26201,11,1
2029,32107,11,2
2029,37868,11,3
2029,39796,11,4
2029,128093,35,1
2029,121737,35,2
2029,112667,35,3
2029,120512,35,4
2029,66953,49,1
2029,67680,49,2
2029,73247,49,3
2029,69617,49,4
2029,29776,57,1
2029,28177,57,2
2029,25500,57,3
2029,18897,57,4
2030,26694,11,1
2030,32712,11,2
2030,38582,11,3
2030,40545,11,4
2030,130045,35,1
2030,123593,35,2
2030,114384,35,3
2030,122348,35,4
2030,69232,49,1
2030,69983,49,2
2030,75739,49,3
2030,71986,49,4
2030,30176,57,1
2030,28555,57,2
2030,25842,57,3
2030,19150,57,4
2031,27205,11,1
2031,33338,11,2
2031,39320,11,3
2031,41321,11,4
2031,131975,35,1
2031,125426,35,2
2031,116081,35,3
2031,124164,35,4
2031,71392,49,1
2031,72166,49,2
2031,78102,49,3
2031,74231,49,4
2031,30618,57,1
2031,28974,57,2
2031,26221,57,3
2031,19431,57,4
