year,number_of_households,cid,income_quartile
2032,27733,11,1
2032,33985,11,2
2032,40083,11,3
2032,42123,11,4
2032,133883,35,1
2032,127241,35,2
2032,117760,35,3
2032,125960,35,4
2032,73422,49,1
2032,74219,49,2
2032,80323,49,3
2032,76342,49,4
2032,31074,57,1
2032,29406,57,2
2032,26611,57,3
2032,19721,57,4
2033,28276,11,1
2033,34651,11,2
2033,40868,11,3
2033,42948,11,4
2033,135769,35,1
2033,129033,35,2
2033,119419,35,3
2033,127734,35,4
2033,75328,49,1
2033,76146,49,2
2033,82408,49,3
2033,78324,49,4
2033,31542,57,1
2033,29848,57,2
2033,27011,57,3
2033,20017,57,4
2034,28830,11,1
2034,35330,11,2
2034,41669,11,3
2034,43790,11,4
2034,137629,35,1
2034,130800,35,2
2034,121055,35,3
2034,129484,35,4
2034,77130,49,1
2034,77967,49,2
2034,84380,49,3
2034,80198,49,4
2034,32019,57,1
2034,30300,57,2
2034,27420,57,3
2034,20320,57,4
2035,29389,11,1
2035,36014,11,2
2035,42476,11,3
2035,44638,11,4
2035,139462,35,1
2035,132542,35,2
2035,122667,35,3
2035,131208,35,4
2035,78870,49,1
2035,79726,49,2
2035,86283,49,3
2035,82007,49,4
2035,32501,57,1
2035,30756,57,2
2035,27833,57,3
2035,20626,57,4
2036,29945,11,1
2036,36696,11,2
2036,43280,11,3
2036,45483,11,4
2036,141280,35,1
2036,134270,35,2
2036,124267,35,3
2036,132919,35,4
2036,80622,49,1
2036,81497,49,2
2036,88199,49,3
2036,83829,49,4
2036,32982,57,1
2036,31211,57,2
2036,28245,57,3
2036,20931,57,4
2037,30506,11,1
2037,37383,11,2
2037,44091,11,3
2037,46335,11,4
2037,143097,35,1
2037,135997,35,2
2037,125865,35,3
2037,134628,35,4
2037,82422,49,1
2037,83316,49,2
2037,90169,49,3
2037,85700,49,4
2037,33434,57,1
2037,31639,57,2
2037,28632,57,3
2037,21218,57,4
2038,31075,11,1
2038,38081,11,2
2038,44914,11,3
2038,47199,11,4
2038,144923,35,1
2038,137732,35,2
2038,127470,35,3
2038,136345,35,4
2038,84288,49,1
2038,85203,49,2
2038,92211,49,3
2038,87641,49,4
2038,33930,57,1
2038,32108,57,2
2038,29057,57,3
2038,21533,57,4
2039,31647,11,1
2039,38782,11,2
2039,45740,11,3
2039,48068,11,4
2039,146744,35,1
2039,139463,35,2
2039,129072,35,3
2039,138059,35,4
2039,86210,49,1
2039,87145,49,2
2039,94313,49,3
2039,89639,49,4
2039,34430,57,1
2039,32582,57,2
2039,29485,57,3
2039,21850,57,4
2040,32213,11,1
2040,39475,11,2
2040,46558,11,3
2040,48927,11,4
2040,148536,35,1
2040,141166,35,2
2040,130649,35,3
2040,139745,35,4
2040,88161,49,1
2040,89118,49,2
2040,96447,49,3
2040,91668,49,4
2040,34931,57,1
2040,33055,57,2
2040,29914,57,3
2040,22168,57,4
2041,32768,11,1
2041,40155,11,2
2041,47360,11,3
2041,49770,11,4
2041,150291,35,1
2041,142834,35,2
2041,132192,35,3
2041,141397,35,4
2041,90109,49,1
2041,91087,49,2
2041,98578,49,3
2041,93693,49,4
2041,35426,57,1
2041,33524,57,2
2041,30338,57,3
2041,22482,57,4
2042,33314,11,1
2042,40824,11,2
2042,48149,11,3
2042,50599,11,4
2042,152014,35,1
2042,144471,35,2
2042,133707,35,3
2042,143017,35,4
2042,92061,49,1
2042,93060,49,2
2042,100714,49,3
2042,95723,49,4
2042,35916,57,1
2042,33988,57,2
2042,30758,57,3
2042,22793,57,4
2043,33851,11,1
2043,41482,11,2
2043,48925,11,3
2043,51415,11,4
2043,153704,35,1
2043,146077,35,2
2043,135194,35,3
2043,144607,35,4
2043,94027,49,1
2043,95048,49,2
2043,102865,49,3
2043,97768,49,4
2043,36405,57,1
2043,34450,57,2
2043,31176,57,3
2043,23103,57,4
2044,34387,11,1
2044,42139,11,2
2044,49700,11,3
2044,52230,11,4
2044,155379,35,1
2044,147670,35,2
2044,136668,35,3
2044,146183,35,4
2044,96031,49,1
2044,97073,49,2
2044,105057,49,3
2044,99851,49,4
2044,36898,57,1
2044,34917,57,2
2044,31599,57,3
2044,23417,57,4
2045,34925,11,1
2045,42798,11,2
2045,50477,11,3
2045,53046,11,4
2045,157047,35,1
2045,149255,35,2
2045,138135,35,3
2045,147752,35,4
2045,98080,49,1
2045,99145,49,2
2045,107299,49,3
2045,101982,49,4
2045,37397,57,1
2045,35389,57,2
2045,32026,57,3
2045,23733,57,4
2046,35465,11,1
2046,43460,11,2
2046,51258,11,3
2046,53866,11,4
2046,158717,35,1
2046,150842,35,2
2046,139603,35,3
2046,149323,35,4
2046,100182,49,1
2046,101270,49,2
2046,109599,49,3
2046,104167,49,4
2046,37866,57,1
2046,35833,57,2
2046,32427,57,3
2046,24031,57,4
2047,36011,11,1
2047,44130,11,2
2047,52048,11,3
2047,54697,11,4
2047,160397,35,1
2047,152438,35,2
2047,141081,35,3
2047,150904,35,4
2047,102340,49,1
2047,103451,49,2
2047,111959,49,3
2047,106411,49,4
2047,38383,57,1
2047,36322,57,2
2047,32870,57,3
2047,24359,57,4
2048,36562,11,1
2048,44805,11,2
2048,52844,11,3
2048,55533,11,4
2048,162077,35,1
2048,154036,35,2
2048,142559,35,3
2048,152485,35,4
2048,104544,49,1
2048,105679,49,2
2048,114370,49,3
2048,108703,49,4
2048,38908,57,1
2048,36819,57,2
2048,33320,57,3
2048,24692,57,4
2049,37115,11,1
2049,45482,11,2
2049,53643,11,3
2049,56373,11,4
2049,163757,35,1
2049,155632,35,2
2049,144036,35,3
2049,154065,35,4
2049,106779,49,1
2049,107938,49,2
2049,116815,49,3
2049,111027,49,4
2049,39437,57,1
2049,37320,57,2
2049,33773,57,3
2049,25028,57,4
2050,37670,11,1
2050,46162,11,2
2050,54444,11,3
2050,57215,11,4
2050,165436,35,1
2050,157228,35,2
2050,145513,35,3
2050,155645,35,4
2050,109031,49,1
2050,110215,49,2
2050,119279,49,3
2050,113368,49,4
2050,39969,57,1
2050,37823,57,2
2050,34229,57,3
2050,25366,57,4
2051,38220,11,1
2051,46836,11,2
2051,55240,11,3
2051,58052,11,4
2051,167099,35,1
2051,158808,35,2
2051,146976,35,3
2051,157209,35,4
2051,111270,49,1
2051,112478,49,2
2051,121729,49,3
2051,115697,49,4
2051,40498,57,1
2051,38324,57,2
2051,34682,57,3
2051,25701,57,4
2052,38767,11,1
2052,47506,11,2
2052,56030,11,3
2052,58882,11,4
2052,168744,35,1
2052,160371,35,2
2052,148423,35,3
2052,158757,35,4
2052,113489,49,1
2052,114721,49,2
2052,124156,49,3
2052,118003,49,4
2052,41023,57,1
2052,38820,57,2
2052,35131,57,3
2052,26034,57,4
2053,39312,11,1
2053,48174,11,2
2053,56818,11,3
2053,59710,11,4
2053,170379,35,1
2053,161925,35,2
2053,149861,35,3
2053,160295,35,4
2053,115695,49,1
2053,116951,49,2
2053,126570,49,3
2053,120298,49,4
2053,41546,57,1
2053,39315,57,2
2053,35579,57,3
2053,26366,57,4
2054,39860,11,1
2054,48846,11,2
2054,57610,11,3
2054,60543,11,4
2054,172013,35,1
2054,163478,35,2
2054,151298,35,3
2054,161833,35,4
2054,117903,49,1
2054,119183,49,2
2054,128985,49,3
2054,122593,49,4
2054,42070,57,1
2054,39811,57,2
2054,36028,57,3
2054,26699,57,4
2055,40414,11,1
2055,49525,11,2
2055,58411,11,3
2055,61384,11,4
2055,173655,35,1
2055,165039,35,2
2055,152743,35,3
2055,163377,35,4
2055,120119,49,1
2055,121423,49,2
2055,131409,49,3
2055,124897,49,4
2055,42598,57,1
2055,40311,57,2
2055,36480,57,3
2055,27034,57,4
2056,40974,11,1
2056,50211,11,2
2056,59220,11,3
2056,62235,11,4
2056,175302,35,1
2056,166604,35,2
2056,154191,35,3
2056,164927,35,4
2056,122339,49,1
2056,123667,49,2
2056,133838,49,3
2056,127206,49,4
2056,43083,57,1
2056,40770,57,2
2056,36896,57,3
2056,27342,57,4
2057,41537,11,1
2057,50901,11,2
2057,60034,11,3
2057,63090,11,4
2057,176948,35,1
2057,168168,35,2
2057,155639,35,3
2057,166475,35,4
2057,124558,49,1
2057,125910,49,2
2057,136265,49,3
2057,129512,49,4
2057,43614,57,1
2057,41272,57,2
2057,37350,57,3
2057,27678,57,4
2058,42104,11,1
2058,51596,11,2
2058,60854,11,3
2058,63951,11,4
2058,178592,35,1
2058,169731,35,2
2058,157085,35,3
2058,168022,35,4
2058,126771,49,1
2058,128147,49,2
2058,138686,49,3
2058,131813,49,4
2058,44144,57,1
2058,41774,57,2
2058,37804,57,3
2058,28015,57,4
2059,42675,11,1
2059,52296,11,2
2059,61679,11,3
2059,64818,11,4
2059,180235,35,1
2059,171292,35,2
2059,158530,35,3
2059,169568,35,4
2059,128982,49,1
2059,130382,49,2
2059,141105,49,3
2059,134112,49,4
2059,44676,57,1
2059,42278,57,2
2059,38260,57,3
2059,28353,57,4
2060,43252,11,1
2060,53002,11,2
2060,62513,11,3
2060,65694,11,4
2060,181883,35,1
2060,172859,35,2
2060,159980,35,3
2060,171119,35,4
2060,131199,49,1
2060,132623,49,2
2060,143530,49,3
2060,136418,49,4
2060,45211,57,1
2060,42784,57,2
2060,38717,57,3
2060,28692,57,4
2061,43833,11,1
2061,53714,11,2
2061,63352,11,3
2061,66577,11,4
2061,183858,35,1
2061,174735,35,2
2061,161716,35,3
2061,172976,35,4
2061,133516,49,1
2061,134965,49,2
2061,146065,49,3
2061,138827,49,4
2061,45759,57,1
2061,43302,57,2
2061,39187,57,3
2061,29040,57,4
2062,44415,11,1
2062,54427,11,2
2062,64193,11,3
2062,67461,11,4
2062,185501,35,1
2062,176297,35,2
2062,163162,35,3
2062,174522,35,4
2062,135732,49,1
2062,137205,49,2
2062,148490,49,3
2062,141131,49,4
2062,46294,57,1
2062,43808,57,2
2062,39645,57,3
2062,29379,57,4
2063,44995,11,1
2063,55139,11,2
2063,65032,11,3
2063,68342,11,4
2063,187134,35,1
2063,177849,35,2
2063,164598,35,3
2063,176059,35,4
2063,137942,49,1
2063,139439,49,2
2063,150907,49,3
2063,143429,49,4
2063,46827,57,1
2063,44313,57,2
2063,40102,57,3
2063,29718,57,4
2064,45574,11,1
2064,55848,11,2
2064,65869,11,3
2064,69222,11,4
2064,188755,35,1
2064,179390,35,2
2064,166024,35,3
2064,177584,35,4
2064,140147,49,1
2064,141668,49,2
2064,153319,49,3
2064,145721,49,4
2064,47357,57,1
2064,44814,57,2
2064,40555,57,3
2064,30054,57,4
2065,46151,11,1
2065,56555,11,2
2065,66703,11,3
2065,70098,11,4
2065,190363,35,1
2065,180918,35,2
2065,167438,35,3
2065,179096,35,4
2065,142347,49,1
2065,143892,49,2
2065,155726,49,3
2065,148009,49,4
2065,47884,57,1
2065,45313,57,2
2065,41006,57,3
2065,30388,57,4
