building_type_id,non_residential_sqft,note,residential_units,stories,unit_price_non_residential,year_built,res_price_per_sqft,residential_price,non_residential_price,job_spaces,building_sqft,DEVTYPE,parcel_id
2,0,pipeline,301,2,0,2024,0,0,0,0,481600,develop,51937
2,0,pipeline,89,2,0,2024,0,0,0,0,106800,develop,52165
2,0,pipeline,505,6,0,2024,0,0,0,0,0,develop,475395
5,0,pipeline,0,1,0,2024,0,0,0,1000,280000,develop,492239
1,0,pipeline,108,2,0,2024,0,0,0,0,236500,develop,69251
2,0,pipeline,253,5,0,2024,0,0,0,0,303000,develop,69251
4,0,pipeline,0,1,0,2024,0,0,0,100,37500,develop,69251
5,0,pipeline,0,1,0,2024,0,0,0,252,159750,develop,69251
0,0,pipeline,0,0,0,2024,0,0,0,0,0,demolition,69255
0,0,pipeline,0,0,0,2024,0,0,0,0,0,demolition,69257
2,0,pipeline,149,5,0,2024,0,0,0,0,170000,develop,475429
1,0,pipeline,13,2,0,2024,0,0,0,0,26000,develop,23047
1,0,pipeline,14,2,0,2024,0,0,0,0,48000,develop,22831
2,0,pipeline,24,2,0,2024,0,0,0,0,33600,develop,22831
2,0,pipeline,2,2,0,2024,0,0,0,0,4000,develop,23111
1,0,pipeline,2,2,0,2024,0,0,0,0,4600,develop,356444
2,0,pipeline,152,5,0,2024,0,0,0,0,160000,redevelop,19523
2,0,pipeline,49,3,0,2024,0,0,0,0,49000,develop,21050
2,0,pipeline,26,3,0,2024,0,0,0,0,41000,develop,21372
8,28569,pipeline,0,1,0,2024,0,0,0,95,28569,develop,651600
2,0,pipeline,50,1,0,2024,0,0,0,0,0,develop,782338
7,7000,pipeline,56,1,0,2024,0,0,0,19,63000,develop,601907
2,0,pipeline,20,1,0,2024,0,0,0,0,20000,redevelop,542275
2,0,pipeline,52,1,0,2024,0,0,0,0,52000,develop,722062
2,0,pipeline,50,1,0,2024,0,0,0,0,66500,develop,775635
7,8000,pipeline,52,1,0,2024,0,0,0,22,60000,develop,630654
7,17000,pipeline,148,1,0,2024,0,0,0,46,170000,develop,648422
2,0,pipeline,72,1,0,2024,0,0,0,0,72000,develop,751671
8,152478,pipeline,0,1,0,2024,0,0,0,508,152478,develop,651600
8,152478,pipeline,0,1,0,2024,0,0,0,508,152478,develop,651600
