N,URBANSIMX,URBANSIMY
1,1488085.978,7751330.035
2,1490396.454,7752561.986
3,1478468.951,7744384.14
4,1481917.35,7748548.188
5,1492916.197,7744654.965
6,1482204.403,7741773.631
7,1476060.477,7738726.043
8,1496204.025,7734021.098
9,1479772.296,7735127.223
10,1482766.94,7733950.226
11,1477310.775,7726281.112
12,1481329.805,7721804.326
13,1484982.569,7721455.296
14,1487253.013,7722778.838
15,1487784.789,7739184.044
16,1492138.575,7729269.123
17,1483401.417,7726711.709
18,1487435.146,7726345.267
19,1496723.694,7728387.219
20,1500788.521,7727768.092
21,1490805.03,7725869.417
22,1492299.302,7725461.783
23,1494202.923,7725092.725
24,1496243.322,7725275.313
25,1498147.957,7725194.798
26,1499853.241,7724962.065
27,1489771.424,7723266.703
28,1493267.186,7722824.765
29,1496195.325,7722875.142
30,1498102.391,7722935.809
31,1499829.47,7722900.186
32,1501078.041,7724923.434
33,1501110.036,7722868.453
34,1502202.133,7724706.914
35,1502794.598,7722806.304
36,1504092.101,7723785.839
37,1489252.702,7720532.144
38,1493279.995,7720687.611
39,1496179.209,7720632.754
40,1497858.921,7720742.175
41,1499794.394,7721081.187
42,1501084.825,7721046.229
43,1502760.775,7721325.46
44,1504109.302,7721067.277
45,1505041.318,7720419.849
46,1506559.551,7719073.035
47,1479933.995,7710968.788
48,1477481.837,7718038.618
49,1489231.437,7718056.652
50,1493064.91,7718230.648
51,1495195.214,7717741.113
52,1496292.301,7718742.427
53,1498019.388,7718703.521
54,1499753.653,7719111.141
55,1501053.871,7719086.089
56,1502189.607,7718567.601
57,1502603.795,7720126.222
58,1504374.407,7717750.061
59,1489598.704,7715389.803
60,1492332.49,7714995.816
61,1494696.495,7715499.136
62,1496209.694,7715541.025
63,1496251.294,7717366.61
64,1497945.715,7715104.929
65,1497980.675,7716943.607
66,1499598.234,7715288.218
67,1499352.659,7716994.495
68,1500969.78,7715031.092
69,1500945.755,7716853.005
70,1502166.019,7714824.848
71,1503702.664,7715339.611
72,1502460.304,7717219.907
73,1505071.773,7713673.466
74,1490171.959,7712313.828
75,1494371.655,7711971.319
76,1494107.35,7713555.376
77,1496075.736,7713258.103
78,1497136.034,7712158.545
79,1498309.277,7713600.219
80,1498496.938,7711864.652
81,1503147.771,7713153.112
82,1500199.308,7712662.743
83,1494592.81,7710334.421
84,1497198.888,7710432.086
85,1499794.018,7710165.268
86,1487344.965,7707447.997
87,1490459.793,7709751.576
88,1491832.655,7707183.464
89,1494408.028,7706101.609
90,1496364.964,7708559.692
91,1497665.049,7706042.295
92,1499136.393,7708690.574
93,1489059.85,7704506.931
94,1490789.684,7704001.87
95,1493055.123,7703414.654
96,1496723.238,7704329.542
97,1480037.105,7700352.528
98,1485789.503,7698026.618
99,1488573.367,7701319.604
100,1490331.38,7700492.989
101,1494404.275,7701239.588
102,1488463.573,7697724.188
103,1490044.843,7697904.359
104,1491980.234,7699803.597
105,1492067.861,7696678.813
106,1493875.323,7696364.612
107,1488418.683,7694802.165
108,1492139.53,7694574.918
109,1485231.315,7693657.07
110,1490109.455,7694786.016
111,1488376.049,7692050.876
112,1490196.588,7691743.325
113,1492841.823,7692967.227
114,1494214.4,7691261.773
115,1488905.025,7688134.324
116,1490369.517,7688625.654
117,1492444.238,7688631.484
118,1494081.978,7688148.838
119,1488314.584,7685859.077
120,1490547.434,7685770.652
121,1492661.54,7685776.712
122,1494421.743,7685675.604
123,1489528.33,7681063.571
124,1490708.892,7682922.127
125,1492623.176,7682854.768
126,1494316.786,7682359.321
127,1491019.21,7680432.326
128,1492588.723,7680327.679
129,1492501.317,7676869.485
130,1494848.285,7679660.734
131,1494605.962,7677651.357
132,1495355.467,7672228.227
133,1492819.62,7671385.855
134,1486488.779,7665064.919
135,1490531.924,7669668.46
136,1496241.139,7668042.655
137,1490341.538,7664710.377
138,1492329.517,7664938.884
139,1494061.832,7661794.491
140,1483666.625,7658847.039
141,1489900.82,7659891.992
142,1488258.754,7657807.537
143,1492859.36,7661409.817
144,1478252.371,7670566.827
145,1499424.745,7735658.962
146,1507046.173,7727745.127
147,1523618.543,7726130.798
148,1514590.862,7721669.642
149,1510061.823,7720248.474
150,1523726.021,7716119.064
151,1518741.605,7700524.556
152,1503658.491,7682566.011
153,1500635.043,7663806.529
154,1440828.07,7610718.577
155,1466543.34,7644718.046
156,1455480.792,7644208.709
157,1466488.369,7635785.813
158,1471654.067,7638814.414
159,1445831.233,7635258.482
160,1458658.649,7634826.486
161,1478909.381,7633624.43
162,1471494.592,7630228.761
163,1476685.534,7632780.696
164,1482340.276,7632824.694
165,1443755.361,7625621.784
166,1467266.562,7627937.583
167,1475642.251,7629377.027
168,1478827.552,7629172.773
169,1482506.577,7629296.416
170,1455922.573,7626879.558
171,1461217.424,7626852.099
172,1481874.831,7625130.368
173,1486067.347,7625480.015
174,1474538.479,7625106.425
175,1478799.188,7625112.081
176,1489130.433,7624156.185
177,1455861.993,7622185.231
178,1461173.304,7622144.723
179,1466654.615,7622223.364
180,1472007.76,7621779.286
181,1475843.536,7620964.928
182,1478668.96,7621067.216
183,1471490.822,7618185.14
184,1482527.014,7620886.626
185,1487131.446,7621051.832
186,1490644.973,7621404.215
187,1456275.709,7616666.58
188,1463460.62,7615084.605
189,1475978.566,7616435.998
190,1478631.014,7616405.807
191,1482531.207,7617702.832
192,1469763.262,7611728.049
193,1482518.727,7615096.195
194,1459554.874,7607859.625
195,1475918.612,7611058.909
196,1478571.2,7611002.45
197,1482503.125,7612194.361
198,1482582.542,7609874.103
199,1474948.523,7651582.981
200,1480423.624,7653385.504
201,1484225.089,7653273.085
202,1486670.68,7652171.547
203,1478100.445,7646533.391
204,1482726.686,7647466.976
205,1486713.557,7649381.533
206,1488797.351,7648396.007
207,1472133.527,7646382.895
208,1484271.885,7645969.445
209,1487990.701,7646040.823
210,1472051.247,7643119.487
211,1476713.913,7643565.862
212,1478745.956,7643425.308
213,1482268.167,7643433.164
214,1487787.02,7642979.061
215,1476137.867,7639854.694
216,1478455.606,7641470.42
217,1481929.02,7641402.481
218,1487978.702,7641364.271
219,1478354.86,7639096.494
220,1481048.681,7639411.233
221,1487576.802,7638915.035
222,1475479.159,7635264.987
223,1479119.238,7636970.639
224,1491604.827,7653228.403
