parcel_id,building_type_id,year_built,building_sqft,residential_units,job_spaces,county_id,DEVTYPE,note,unit_price_non_residential,res_price_per_sqft,residential_price,non_residential_price,stories,non_residential_sqft
2237,6,2024,15000,0,0,57,develop,assessor or aerials,0,0,0,0,1,15000
2238,6,2024,15000,0,0,57,develop,assessor or aerials,0,0,0,0,1,15000
2239,6,2024,15000,0,0,57,develop,assessor or aerials,0,0,0,0,1,15000
2240,6,2024,15000,0,0,57,develop,assessor or aerials,0,0,0,0,1,15000
2241,6,2024,15000,0,0,57,develop,assessor or aerials,0,0,0,0,1,15000
2509,1,2026,89890,17,0,35,develop,assessor or aerials,0,0,0,0,1,0
2510,1,2025,89891,22,0,35,develop,assessor or aerials,0,0,0,0,1,0
2511,1,2026,89891,6,0,35,develop,assessor or aerials,0,0,0,0,1,0
2520,1,2028,133408,30,0,35,develop,assessor or aerials,0,0,0,0,1,0
2521,1,2026,133408,23,0,35,develop,assessor or aerials,0,0,0,0,1,0
2522,2,2027,83670,115,0,35,develop,assessor or aerials,0,0,0,0,1,0
2523,2,2027,83670,80,0,35,develop,assessor or aerials,0,0,0,0,1,0
3086,1,2025,3805,1,0,57,develop,assessor or aerials,0,0,0,0,1,0
3087,1,2025,30967,4,0,57,develop,assessor or aerials,0,0,0,0,1,0
3088,1,2025,30967,4,0,57,develop,assessor or aerials,0,0,0,0,1,0
13716,2,2026,76591,34,0,11,develop,assessor or aerials,0,0,0,0,1,0
14009,1,2027,32202,14,0,11,develop,assessor or aerials,0,0,0,0,1,0
14592,8,2025,9122,0,0,57,develop,assessor or aerials,0,0,0,0,1,9122
14682,1,2027,3920,15,0,57,develop,assessor or aerials,0,0,0,0,1,0
20680,1,2024,2448,0,0,57,develop,assessor or aerials,0,0,0,0,1,0
20893,1,2024,1900,1,0,57,develop,assessor or aerials,0,0,0,0,1,0
21005,2,2024,86542,84,0,57,develop,assessor or aerials,0,0,0,0,1,0
21118,1,2024,1120,1,0,57,develop,assessor or aerials,0,0,0,0,1,0
21282,1,2024,1668,1,0,57,develop,assessor or aerials,0,0,0,0,1,0
