N,URBANSIMX,URBANSIMY
255,1487848.55861000000,7609762.10823
256,1475790.72184000000,7605551.37157
257,1478642.28342000000,7605702.87926
258,1483306.46071000000,7605185.65452
259,1487673.41012000000,7607190.87451
260,1497342.98458000000,7611190.42051
261,1498953.80859000000,7609122.10890
262,1501677.80130000000,7611984.17027
263,1503247.36136000000,7609121.22652
264,1499952.50949000000,7605097.08088
265,1471823.73516000000,7606955.67583
266,1460934.91047000000,7599397.13766
267,1466166.74825000000,7599451.22905
268,1472224.82257000000,7599850.22020
269,1460497.90927000000,7592849.45338
270,1466028.84925000000,7593381.24559
271,1472036.70296000000,7592321.88413
272,1475763.28002000000,7600220.50980
273,1478483.86239000000,7600315.42780
274,1477815.56198000000,7594557.35679
275,1477369.41455000000,7591190.23541
276,1482392.38483000000,7600463.33312
277,1487684.57650000000,7604340.97743
278,1486522.74349000000,7601407.02570
279,1493440.94829000000,7605495.14917
280,1489386.62319000000,7600025.51573
281,1494706.50905000000,7604081.31481
282,1493729.98607000000,7601580.84642
283,1491582.65388000000,7598906.05665
284,1494074.25464000000,7598871.55373
285,1496495.14508000000,7599138.61401
286,1481572.63583000000,7595886.02810
287,1483902.31328000000,7594921.65945
288,1486321.75604000000,7595428.34833
289,1481009.77573000000,7591162.56357
290,1483650.03198000000,7590961.55439
291,1489004.91928000000,7596300.94509
292,1489222.88878000000,7593856.80885
293,1491794.07623000000,7596458.58761
294,1495073.18287000000,7596471.40631
295,1496573.48992000000,7596558.85909
296,1492797.87572000000,7593789.31888
297,1495331.66903000000,7593833.83267
298,1486275.55091000000,7591032.89115
299,1489138.02302000000,7591000.58352
300,1491051.98582000000,7590949.53136
301,1492566.83029000000,7591227.64359
302,1494447.14072000000,7591317.53071
303,1503367.55131000000,7619885.43148
304,1500560.50751000000,7618296.47438
305,1500601.07976000000,7615877.46897
306,1507085.75570000000,7621158.08098
307,1509979.28473000000,7623115.19543
308,1509872.30091000000,7620665.74665
309,1511903.83220000000,7621288.30877
310,1513211.75330000000,7621043.27169
311,1514979.77377000000,7621263.79473
312,1516798.47720000000,7620683.65761
313,1502026.53044000000,7615183.43334
314,1505123.20062000000,7616088.03158
315,1503794.25409000000,7612672.88441
316,1506803.19485000000,7616203.00155
317,1506632.83198000000,7611701.60709
318,1507949.79559000000,7617703.34615
319,1509854.79967000000,7618627.15662
320,1508217.85520000000,7616224.48920
321,1509083.36373000000,7616964.89773
322,1509802.30033000000,7616956.01338
323,1510593.39328000000,7616957.40220
324,1511430.33472000000,7616905.66552
325,1509092.95957000000,7615340.08123
326,1509779.01208000000,7615340.84972
327,1510566.99547000000,7615312.67627
328,1511377.80141000000,7615310.89737
329,1509055.14589000000,7613961.18012
330,1509735.36876000000,7613837.17619
331,1510516.92144000000,7613785.98619
332,1511301.36941000000,7613800.46386
333,1508986.21200000000,7612293.23252
334,1509760.94614000000,7612284.67559
335,1510512.72289000000,7612272.69991
336,1511284.23339000000,7612254.27488
337,1512590.04793000000,7618482.46093
338,1512810.23961000000,7616770.25122
339,1512815.82903000000,7615266.86302
340,1512798.53669000000,7613746.92962
341,1515788.61349000000,7618258.42443
342,1515649.94444000000,7616724.63670
343,1515603.10614000000,7615204.52389
344,1515559.51034000000,7613690.99816
345,1519598.11817000000,7619085.12655
346,1519659.38387000000,7617601.75187
347,1521137.90067000000,7616816.07614
348,1518626.78361000000,7615133.72103
349,1521279.42999000000,7615080.41713
350,1507968.52464000000,7611197.41644
351,1509261.62251000000,7610679.84157
352,1510485.64271000000,7610742.86853
353,1511204.53592000000,7610740.54518
354,1512755.09958000000,7612207.14934
355,1515525.83810000000,7612164.40341
356,1512757.51858000000,7610684.05517
357,1515485.65772000000,7610627.92540
358,1515822.14458000000,7609231.53769
359,1518603.03188000000,7613594.04915
360,1521166.89197000000,7613566.48075
361,1518467.39050000000,7611544.92186
362,1521178.25923000000,7611636.38938
363,1506525.31626000000,7607673.29303
364,1506474.00789000000,7604131.14293
365,1509152.99647000000,7608506.15433
366,1510837.40601000000,7608427.46361
367,1507772.85165000000,7606531.76980
368,1509325.76544000000,7606485.12958
369,1510443.50326000000,7606757.60859
370,1512815.95054000000,7609125.18595
371,1512534.21556000000,7606802.76337
372,1514121.49284000000,7607609.77966
373,1515742.86770000000,7607087.56228
374,1517996.09140000000,7609080.21939
375,1520830.74098000000,7608775.22230
376,1518163.66851000000,7606822.80629
377,1509816.14008000000,7604042.53618
378,1511768.53119000000,7604720.40221
379,1511818.01404000000,7603565.24281
380,1513604.82303000000,7603933.57014
381,1514979.21018000000,7604102.51271
382,1516082.18663000000,7603537.84850
383,1517764.91448000000,7603186.67863
384,1518005.12516000000,7599741.43249
385,1520816.47447000000,7602275.68039
386,1502366.99878000000,7602006.09112
387,1504575.22390000000,7602715.01942
388,1501458.78933000000,7599049.76320
389,1507173.53808000000,7601289.32867
390,1509188.76851000000,7601885.50170
391,1509452.99433000000,7601053.30048
392,1506896.58333000000,7598714.21013
393,1509557.87882000000,7599409.38017
394,1512196.81326000000,7601115.42908
395,1511558.51368000000,7598026.10432
396,1514432.03058000000,7599474.20692
397,1515662.56262000000,7600101.84995
398,1516086.68068000000,7597757.34505
399,1497494.61017000000,7591644.07693
400,1498598.33724000000,7598176.14265
401,1501650.06036000000,7592781.35534
402,1500008.19905000000,7590106.30981
403,1502509.88079000000,7597263.72837
404,1504583.55710000000,7596852.52251
405,1508515.48023000000,7596938.07531
406,1506246.12799000000,7594905.96458
407,1508083.63818000000,7595021.83597
408,1510396.90277000000,7595173.33170
409,1507930.75570000000,7591443.02836
410,1510524.52777000000,7593010.92170
411,1512585.43157000000,7593653.29630
412,1514247.42661000000,7590127.83786
413,1518690.51874000000,7588131.95613
414,1519063.62838000000,7584966.55530
415,1515496.82345000000,7595357.64004
416,1518088.71666000000,7592228.25119
417,1520765.78575000000,7595267.18272
418,1521204.93257000000,7590920.44055
419,1524448.32276000000,7589196.48531
420,1527619.62948000000,7586329.78286
421,1521783.79096000000,7649853.54611
422,1524294.49110000000,7619750.08539
423,1530978.34032000000,7583009.99475
424,1464079.83555000000,7586627.66805
425,1467475.72830000000,7579108.24985
426,1473733.95026000000,7573445.36767
427,1475162.36733000000,7568673.26487
428,1471966.68100000000,7586682.56318
429,1477456.24572000000,7585952.03847
430,1471043.87644000000,7582392.05886
431,1476991.94409000000,7580625.40495
432,1477034.20069000000,7583063.22115
433,1482804.01634000000,7588045.04377
434,1482390.02003000000,7585895.90041
435,1482328.27356000000,7583016.87328
436,1482374.39266000000,7580768.71068
437,1486296.19271000000,7588414.84013
438,1488855.92275000000,7588192.43820
439,1486238.99393000000,7585816.81864
440,1488865.95132000000,7585774.29715
441,1488925.34821000000,7583089.89497
442,1486240.52364000000,7583103.05492
443,1486269.95684000000,7580578.12133
444,1488882.73020000000,7580477.45861
445,1491651.59916000000,7585892.33964
446,1494366.95957000000,7575453.44734
447,1491362.93192000000,7588081.98345
448,1494161.46295000000,7588000.57753
449,1494154.86947000000,7585781.61512
450,1491568.06572000000,7580377.21640
451,1491508.85287000000,7583032.59223
452,1494153.76348000000,7583188.49489
453,1494074.49774000000,7580489.88386
454,1491962.62388000000,7577926.99749
455,1494471.37186000000,7577757.98302
456,1491640.34499000000,7575026.62749
457,1477233.86573000000,7578050.04174
458,1482187.77488000000,7577911.93849
459,1477675.50273000000,7573861.08658
460,1482288.41989000000,7572701.00675
461,1482240.59466000000,7575243.12333
462,1482210.08315000000,7568580.33180
463,1486300.15708000000,7577922.59071
464,1488796.91589000000,7577806.72656
465,1487366.84280000000,7575221.44639
466,1487290.73036000000,7572545.86582
467,1487291.51893000000,7568518.41752
468,1493651.24374000000,7569327.27078
469,1496823.09005000000,7576386.67667
470,1496572.78990000000,7572630.14512
471,1498915.96599000000,7572706.31411
472,1498672.86768000000,7569396.23929
473,1501104.48660000000,7569502.45996
474,1496560.94707000000,7586409.77421
475,1497151.50336000000,7581368.02619
476,1498213.47749000000,7577172.80069
477,1498946.98953000000,7580810.75418
478,1506628.24052000000,7580747.68222
479,1503108.36594000000,7572573.44176
480,1506988.61212000000,7574729.83631
481,1512038.09604000000,7585145.17498
482,1520419.32255000000,7581048.68499
483,1516938.17667000000,7574079.30441
484,1520423.47156000000,7574749.68389
485,1525683.64294000000,7581178.05418
486,1528502.05789000000,7581388.24879
487,1523701.50776000000,7578858.85144
488,1525662.17118000000,7574763.99690
489,1528826.80305000000,7576945.68492
490,1477254.74087000000,7563414.22808
491,1480797.40338000000,7557674.69475
492,1483215.35589000000,7564539.14838
493,1487340.54287000000,7564658.67016
494,1487246.99517000000,7562153.69864
495,1488628.43115000000,7559440.79260
496,1492600.12399000000,7564443.49409
497,1497902.90993000000,7564697.91895
498,1492587.97067000000,7561945.73320
499,1497813.38856000000,7562061.66075
500,1492383.28203000000,7559462.90861
501,1498094.04065000000,7559549.03427
502,1492494.73579000000,7556699.84656
503,1498568.82079000000,7556955.49655
504,1502722.39150000000,7563416.60777
505,1505011.26644000000,7564352.40960
506,1492355.83227000000,7551857.61803
507,1498498.16570000000,7553899.23240
508,1503128.87429000000,7556805.05217
509,1502857.78080000000,7553440.08249
510,1502746.57278000000,7549692.47562
511,1507050.91476000000,7552393.63957
512,1507275.34528000000,7557216.72202
513,1508716.59092000000,7558285.38440
514,1508767.94874000000,7554008.77989
515,1511943.27461000000,7552668.51325
516,1506259.21887000000,7545791.52195
517,1509710.73934000000,7549402.62379
518,1513974.06571000000,7548915.56852
519,1511860.31612000000,7545542.07661
520,1515244.16802000000,7545020.31304
521,1511658.82479000000,7540715.89284
522,1514570.35621000000,7538451.73481
523,1517969.04235000000,7537634.62932
524,1504979.84883000000,7570253.95109
525,1508375.28811000000,7568892.02602
526,1505155.38885000000,7567753.80224
527,1508307.73438000000,7563629.96266
528,1511992.26656000000,7568371.68041
529,1516111.37060000000,7568425.40480
530,1511636.91758000000,7563485.39330
531,1514953.42895000000,7563823.24881
532,1520724.68927000000,7568724.90853
533,1524623.01086000000,7567808.98626
534,1522806.68470000000,7564643.94098
535,1520205.63711000000,7562639.56174
536,1528670.75444000000,7565479.19361
537,1528710.91754000000,7557493.32488
538,1511343.19664000000,7559282.22750
539,1513260.66179000000,7557507.86842
540,1513767.59707000000,7554461.52675
541,1515388.84454000000,7557861.71464
542,1519806.30397000000,7558527.66885
543,1515987.23646000000,7553210.82881
544,1523217.35715000000,7555051.90915
545,1517851.29799000000,7549342.00665
546,1522895.86454000000,7551656.05538
547,1524759.20906000000,7549027.93595
548,1517920.63346000000,7545347.80305
549,1521532.02199000000,7545769.37945
550,1525608.61666000000,7546344.65235
551,1524167.11436000000,7543631.57185
552,1525580.64972000000,7541020.52687
553,1529100.03907000000,7545954.76128
554,1520218.44586000000,7541950.90463
555,1522373.16231000000,7537762.12797
556,1525493.15057000000,7536332.85218
557,1527080.44633000000,7532065.26333
558,1528740.80205000000,7537211.78308
559,1531252.71872000000,7535926.63962
560,1529691.28841000000,7531824.47638
561,1533152.83685000000,7531483.60766
562,1531247.10959000000,7528446.20638
563,1520671.58256000000,7530127.39338
564,1524686.78966000000,7530525.02086
565,1528548.56564000000,7527967.66660
566,1522130.96016000000,7524155.59586
567,1526078.68010000000,7523177.53245
568,1529548.32760000000,7523693.38615
569,1522878.40987000000,7518685.13649
570,1534032.47744000000,7528107.95143
571,1532717.36826000000,7525103.54596
572,1535446.82991000000,7525345.92451
573,1533381.20420000000,7522146.78475
574,1536022.63307000000,7522286.89284
575,1527406.25613000000,7518409.56565
576,1530780.79239000000,7518347.16947
577,1530224.17123000000,7510784.88369
578,1533908.21687000000,7518447.43758
579,1533766.02744000000,7513552.74457
580,1536348.05184000000,7513745.00873
581,1533255.59301000000,7509893.34071
582,1534602.60703000000,7509671.41831
583,1537087.74300000000,7509026.13563
584,1528346.86417000000,7505686.48813
585,1531200.49814000000,7503894.04544
586,1531231.95991000000,7505850.70590
587,1525127.82665000000,7501597.80155
588,1529018.66638000000,7500790.03902
589,1532950.38351000000,7505936.46098
590,1534806.29383000000,7506252.50088
591,1536587.67087000000,7505839.44661
592,1533048.79182000000,7503124.15869
593,1534749.99850000000,7502950.24279
594,1536558.81073000000,7502898.39187
595,1533064.74179000000,7500380.31072
596,1534758.12105000000,7500422.97395
597,1536465.01184000000,7500400.06859
598,1538756.21813000000,7503754.69349
599,1520690.78404000000,7496438.61681
600,1524849.02601000000,7496489.07210
601,1527823.26387000000,7496956.03196
602,1530359.92126000000,7497039.70604
603,1523884.50572000000,7493027.31698
604,1528553.10599000000,7492798.44999
605,1532852.98091000000,7497283.94962
606,1534646.30556000000,7497071.17794
607,1536412.91702000000,7496937.02107
608,1531348.77307000000,7492929.57163
609,1532878.22567000000,7492938.45599
610,1534486.44981000000,7492947.79569
611,1536370.37141000000,7492958.73358
612,1538891.78583000000,7496800.43156
613,1541478.89104000000,7496677.59312
614,1538651.69564000000,7492926.02361
615,1541042.49340000000,7492693.72894
616,1544283.07248000000,7493647.95503
617,1515271.75974000000,7485753.16671
618,1520003.00772000000,7486594.66481
619,1524108.81606000000,7489447.76550
620,1522269.03205000000,7485235.89893
621,1524709.69369000000,7485453.57808
622,1527992.60567000000,7489279.97248
623,1530015.22207000000,7489708.56027
624,1527873.95649000000,7485409.60023
625,1529762.19675000000,7486369.11412
626,1531231.17527000000,7487181.77750
627,1533146.83787000000,7489638.12796
628,1536046.96047000000,7489868.30531
629,1535116.04452000000,7487394.69471
630,1538228.75395000000,7488886.45937
631,1541635.91585000000,7488279.31917
632,1533995.46786000000,7484234.01573
633,1536612.55940000000,7484593.82691
634,1531281.99817000000,7481819.00366
635,1534827.59842000000,7482236.71703
636,1540557.96586000000,7485122.16158
637,1539618.69190000000,7482389.22046
638,1545749.89092000000,7487476.04765
639,1543809.26862000000,7481389.46070
640,1516695.58654000000,7478524.33879
641,1519677.58779000000,7478774.70339
642,1518778.03291000000,7474299.22024
643,1522683.50927000000,7479993.43198
644,1525127.82444000000,7480145.48013
645,1522546.22136000000,7474245.61681
646,1522001.06035000000,7471475.62279
647,1527912.17562000000,7479958.15369
648,1529364.66158000000,7479086.96727
649,1528389.37653000000,7476908.52493
650,1533661.02365000000,7478517.82168
651,1530980.57905000000,7476634.72948
652,1526745.85936000000,7471673.82827
653,1530141.02698000000,7472556.72130
654,1537416.48026000000,7473872.36380
655,1479219.16910000000,7469798.82228
656,1476323.93242000000,7464826.07514
657,1481332.98444000000,7465830.07070
658,1475671.21432000000,7457447.62716
659,1480260.84856000000,7460890.13535
660,1485984.22484000000,7461784.21354
661,1489357.21444000000,7464196.46770
662,1491519.66968000000,7456939.38045
663,1498400.40874000000,7457225.56726
664,1476233.00294000000,7452210.13743
665,1480518.71295000000,7453495.82094
666,1484845.18869000000,7456746.25576
667,1485406.87846000000,7452158.01538
668,1491038.00408000000,7451728.02939
669,1497745.91737000000,7452380.77558
670,1448845.96497000000,7437002.17987
671,1463278.33888000000,7447923.27296
672,1474510.85482000000,7447066.56197
673,1463828.71034000000,7436840.17402
674,1475362.29936000000,7437806.59954
675,1480724.54328000000,7448596.05522
676,1487083.76928000000,7448810.30308
677,1481370.67798000000,7445285.03072
678,1487885.47482000000,7445270.42709
679,1482039.51242000000,7440891.09843
680,1488544.02478000000,7440948.61573
681,1481642.45922000000,7436366.26516
682,1486859.61991000000,7434867.20321
683,1490925.37693000000,7436663.07771
684,1481535.76004000000,7432138.51109
685,1486480.53706000000,7432328.05692
686,1447631.37203000000,7432558.01473
687,1458550.49952000000,7430806.83647
688,1448562.33463000000,7428244.53621
689,1453865.80505000000,7427681.44949
690,1463566.37353000000,7427225.99138
691,1470378.68610000000,7427941.70596
692,1468735.26829000000,7424981.72734
693,1462744.21272000000,7421878.32177
694,1468366.66602000000,7421773.18709
695,1473629.35059000000,7429926.47397
696,1473593.82775000000,7427005.37295
697,1473694.03564000000,7424446.07563
698,1474919.43112000000,7421972.08584
699,1477775.56242000000,7429162.92422
700,1482237.47158000000,7429986.36153
701,1481524.31966000000,7428459.40526
702,1477743.73199000000,7426734.12430
703,1481380.84593000000,7426604.28739
704,1477599.45866000000,7424452.36124
705,1481210.33062000000,7424319.08496
706,1489039.34475000000,7430823.37653
707,1486732.92506000000,7428427.29865
708,1490959.86148000000,7428461.67851
709,1487056.05237000000,7426473.14342
710,1491359.71043000000,7426859.12929
711,1486910.37199000000,7424430.93964
712,1491492.13321000000,7424398.44493
713,1469797.47082000000,7417836.69304
714,1470445.23493000000,7414744.19774
715,1473520.33627000000,7419886.52292
716,1474200.31510000000,7414691.97765
717,1477743.23609000000,7422300.26951
718,1481079.84165000000,7421922.53446
719,1483490.35084000000,7421083.23010
720,1477597.49276000000,7420835.69725
721,1480990.43152000000,7419798.62463
722,1477983.35400000000,7418816.29188
723,1486926.48075000000,7421654.52828
724,1486937.65478000000,7419728.10898
725,1486698.48567000000,7418525.54248
726,1491681.39847000000,7420637.57285
727,1491307.38472000000,7416845.17846
728,1480653.91302000000,7416143.92265
729,1478901.44820000000,7413304.77086
730,1488226.35005000000,7417087.07917
731,1486825.06103000000,7414807.87783
732,1491032.72929000000,7414195.57108
733,1481772.72594000000,7409406.13963
734,1487273.65513000000,7409887.63376
735,1490426.92405000000,7411130.04520
736,1505362.25714000000,7468969.86891
737,1513511.57886000000,7471245.79444
738,1517151.38485000000,7467863.40303
739,1520210.43789000000,7465012.60737
740,1522468.22462000000,7465629.61351
741,1506677.33686000000,7462373.99083
742,1507659.55034000000,7453747.89989
743,1504053.38846000000,7449089.45127
744,1507596.51751000000,7448775.25096
745,1514133.16754000000,7460290.51925
746,1514019.05461000000,7452806.75597
747,1514397.54132000000,7448663.72565
748,1517137.42742000000,7458959.02184
749,1519231.21119000000,7460687.69578
750,1519136.97846000000,7455997.06168
751,1521997.85931000000,7460713.58835
752,1521118.04595000000,7458486.51547
753,1523619.34685000000,7458425.52799
754,1521160.41730000000,7455706.84176
755,1524223.42359000000,7455563.77086
756,1517358.18923000000,7454283.35493
757,1517356.85003000000,7451683.95648
758,1517384.70184000000,7449143.80947
759,1520168.34662000000,7451329.37914
760,1521298.18883000000,7452888.34215
761,1524315.18372000000,7452754.84589
762,1523121.88277000000,7450818.07805
763,1524545.77643000000,7450908.37621
764,1525570.22251000000,7450832.25661
765,1520601.91755000000,7449004.91242
766,1523241.36344000000,7448888.91753
767,1524528.43924000000,7448801.19031
768,1525678.51880000000,7449700.57023
769,1525537.04371000000,7448626.51600
770,1492896.87632000000,7446431.85131
771,1496567.47271000000,7446203.75156
772,1502197.88844000000,7446462.91103
773,1494151.94808000000,7441115.76264
774,1497632.67183000000,7442498.00199
