parcel_id,Agriculture
8,1
9,1
10,1
14,1
15,1
18,1
19,1
104,1
106,1
112,1
113,1
114,1
115,1
116,1
954,1
955,1
956,1
957,1
958,1
981,1
982,1
1621,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1656,1
1657,1
1659,1
1660,1
1661,1
1662,1
1664,1
1665,1
1666,1
1667,1
1668,1
1669,1
1719,1
1721,1
1722,1
1723,1
1724,1
1725,1
1726,1
1727,1
1728,1
1729,1
1737,1
1738,1
1740,1
1742,1
1743,1
1744,1
1745,1
1746,1
1747,1
1748,1
1749,1
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1770,1
1771,1
1773,1
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,1
1782,1
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,1
1793,1
1794,1
1795,1
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,1
1819,1
1820,1
1821,1
1822,1
1823,1
1824,1
1825,1
1826,1
1827,1
1828,1
1829,1
1830,1
1831,1
1832,1
1833,1
1834,1
1835,1
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,1
1843,1
1844,1
1845,1
1846,1
1847,1
1849,1
1850,1
1852,1
1853,1
1858,1
1860,1
1895,1
1978,1
1979,1
1980,1
2009,1
2012,1
2013,1
2014,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2027,1
2028,1
2029,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2048,1
2049,1
2098,1
2099,1
2100,1
2101,1
2102,1
2104,1
2108,1
2118,1
2157,1
2158,1
2159,1
2160,1
2161,1
2162,1
2163,1
2187,1
2189,1
2190,1
2191,1
2235,1
2236,1
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2259,1
2261,1
2262,1
2263,1
2324,1
2325,1
2326,1
2327,1
2328,1
2329,1
2330,1
2331,1
2332,1
2336,1
2339,1
2340,1
2341,1
2342,1
2343,1
2344,1
2345,1
2346,1
2347,1
2348,1
2349,1
2350,1
2351,1
2352,1
2354,1
2355,1
2356,1
2357,1
2358,1
2359,1
2360,1
2361,1
2363,1
2364,1
2365,1
2374,1
2375,1
2376,1
2377,1
2378,1
2379,1
2380,1
2381,1
2414,1
2415,1
2416,1
2417,1
2418,1
2419,1
2420,1
2421,1
2422,1
2423,1
2424,1
2425,1
2427,1
2428,1
2429,1
2430,1
2431,1
2432,1
2433,1
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,1
2460,1
2461,1
2462,1
2463,1
2464,1
2465,1
2466,1
2468,1
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,1
2483,1
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
2491,1
2492,1
2493,1
2494,1
2495,1
2496,1
2497,1
2498,1
2500,1
2501,1
2502,1
2503,1
2513,1
2520,1
2522,1
2523,1
2975,1
2976,1
3009,1
3010,1
3011,1
3012,1
3030,1
3031,1
3032,1
3034,1
3035,1
3036,1
3037,1
3041,1
3042,1
3043,1
3044,1
3047,1
3050,1
3051,1
3061,1
3064,1
3065,1
3067,1
3068,1
3070,1
3071,1
3072,1
3074,1
3075,1
3077,1
3078,1
3079,1
3080,1
3081,1
3082,1
3083,1
3084,1
3088,1
3089,1
3090,1
3102,1
3104,1
3105,1
3108,1
3109,1
3110,1
3111,1
3112,1
3113,1
3114,1
3116,1
3117,1
3118,1
3119,1
3120,1
3121,1
3122,1
3123,1
3124,1
3125,1
3126,1
3127,1
3129,1
3130,1
3131,1
3132,1
3133,1
3134,1
3135,1
3136,1
3137,1
3138,1
3139,1
3141,1
3142,1
3143,1
3144,1
3145,1
3147,1
3148,1
3151,1
3152,1
3153,1
3154,1
3155,1
3157,1
3158,1
3159,1
3160,1
3161,1
3162,1
3164,1
3165,1
3168,1
3169,1
3171,1
3172,1
3173,1
3174,1
3175,1
3176,1
3179,1
3181,1
3182,1
3183,1
3184,1
3185,1
3186,1
3187,1
3188,1
3189,1
3190,1
3191,1
3192,1
3194,1
3195,1
3197,1
3198,1
3199,1
3200,1
3201,1
3202,1
3203,1
3204,1
3205,1
3207,1
3208,1
3209,1
3210,1
3212,1
3213,1
3214,1
3216,1
3217,1
3218,1
3219,1
3220,1
3221,1
3222,1
3223,1
3224,1
3225,1
3226,1
3227,1
3228,1
3229,1
3230,1
3231,1
3232,1
3233,1
3234,1
3235,1
3236,1
3237,1
3238,1
3239,1
3240,1
3241,1
3242,1
3243,1
3244,1
3245,1
3246,1
3247,1
3248,1
3251,1
3252,1
3254,1
3255,1
3256,1
3257,1
3258,1
3259,1
3260,1
3262,1
3264,1
3267,1
3269,1
3270,1
3271,1
3273,1
3276,1
3277,1
3278,1
3280,1
3283,1
3285,1
3286,1
3287,1
3288,1
3289,1
3290,1
3291,1
3292,1
3293,1
3294,1
3295,1
3296,1
3300,1
3302,1
3303,1
3304,1
3305,1
3306,1
3307,1
3308,1
3310,1
3311,1
3312,1
3313,1
3316,1
3317,1
3318,1
3319,1
3320,1
3321,1
3322,1
3323,1
3324,1
3325,1
3326,1
3327,1
3328,1
3332,1
3333,1
3334,1
3335,1
3336,1
3337,1
3338,1
3339,1
3340,1
3341,1
3342,1
3343,1
3344,1
3346,1
3347,1
3348,1
3349,1
3350,1
3351,1
3352,1
3353,1
