building_id,year,jobs,jobs_sector,dev_type,sector_id
69247.0,2023,150,government,add additional,3
69247.0,2024,110,manufacturing,add additional,5
69247.0,2025,122,government,add additional,3
69247.0,2025,89,manufacturing,add additional,5
69247.0,2025,109,office,add additional,6
69247.0,2026,127,government,add additional,3
69247.0,2026,87,manufacturing,add additional,5
69247.0,2026,106,office,add additional,6
69247.0,2027,141,government,add additional,3
69247.0,2027,79,manufacturing,add additional,5
69247.0,2028,335,office,add additional,6
69247.0,2029,170,manufacturing,add additional,5
69247.0,2029,200,office,add additional,6
69247.0,2029,210,other,add additional,7
69247.0,2030,120,manufacturing,add additional,5
69247.0,2030,167,office,add additional,6
69247.0,2031,74,manufacturing,add additional,5
69247.0,2031,84,other,add additional,7
69247.0,2032,61,manufacturing,add additional,5
69247.0,2032,42,office,add additional,6
69247.0,2032,97,other,add additional,7
69247.0,2033,81,manufacturing,add additional,5
69247.0,2033,111,office,add additional,6
69247.0,2033,45,other,add additional,7
69247.0,2034,78,manufacturing,add additional,5
69247.0,2034,195,office,add additional,6
69247.0,2034,125,other,add additional,7
69247.0,2035,194,office,add additional,6
69247.0,2035,111,other,add additional,7
69247.0,2036,227,office,add additional,6
69247.0,2036,132,other,add additional,7
69247.0,2037,228,office,add additional,6
69247.0,2037,21,other,add additional,7
69245.0,2020,128,office,add additional,3
69249.0,2020,218,government,add additional,3
69249.0,2020,650,manufacturing,add additional,5
69249.0,2020,727,government,add additional,3
69249.0,2020,205,manufacturing,add additional,5
69249.0,2021,420,government,add additional,3
69249.0,2022,330,government,add additional,3
69249.0,2022,90,manufacturing,add additional,5
69249.0,2023,26,government,add additional,3
69249.0,2023,203,manufacturing,add additional,5
69249.0,2023,86,office,add additional,6
69249.0,2024,72,government,add additional,3
69249.0,2024,179,manufacturing,add additional,5
69249.0,2024,65,office,add additional,6
69249.0,2025,128,government,add additional,3
69249.0,2025,147,manufacturing,add additional,5
69249.0,2025,40,office,add additional,6
69250.0,2023,9,government,add additional,3
69250.0,2023,68,manufacturing,add additional,5
69250.0,2023,29,office,add additional,6
69250.0,2024,24,government,add additional,3
69250.0,2024,60,manufacturing,add additional,5
69250.0,2024,22,office,add additional,6
69250.0,2025,43,government,add additional,3
69250.0,2025,49,manufacturing,add additional,5
69250.0,2025,13,office,add additional,6
69244.0,2023,225,government,add additional,3
69244.0,2024,16,manufacturing,add additional,5
69244.0,2024,209,government,add additional,3
69244.0,2025,68,government,add additional,3
69244.0,2025,105,manufacturing,add additional,5
69244.0,2025,52,office,add additional,6
69244.0,2026,96,government,add additional,3
