building_type_id,non_residential_sqft,note,parcel_id,residential_units,stories,unit_price_non_residential,year_built,res_price_per_sqft,residential_price,non_residential_price,job_spaces,building_sqft,DEVTYPE
2,0,pipeline,586559,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,586561,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,586564,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586568,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586572,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,586577,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586578,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586581,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586582,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586586,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,586587,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586589,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,586591,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586595,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,586596,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,586598,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586604,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586609,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586622,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,586627,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,586628,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,586629,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,586630,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,587465,1,1,0,2024,0,0,0,0,0,develop
3,40000,pipeline,592199,0,1,0,2023,0,0,0,42,40000,develop
1,0,pipeline,592289,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,592306,1,1,0,2022,0,0,0,0,0,develop
5,10650,pipeline,592667,0,1,0,2020,0,0,0,17,10650,develop
4,38000,pipeline,592696,0,1,0,2021,0,0,0,102,38000,develop
1,0,pipeline,593747,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593750,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593751,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593752,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593753,1,1,0,2021,0,0,0,0,0,develop
4,2576,pipeline,593755,0,1,0,2021,0,0,0,7,2576,develop
1,0,pipeline,593756,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593757,1,1,0,2021,0,0,0,0,0,develop
4,3100,pipeline,593758,0,1,0,2023,0,0,0,8,3100,develop
1,0,pipeline,593759,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593761,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593762,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593764,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,593765,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593768,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593770,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593771,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,593772,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593773,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593775,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593776,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,593777,1,1,0,2021,0,0,0,0,0,develop
