year,sector_id,number_of_jobs,cid
2028,5,24950,49
2028,6,73453,49
2028,7,107350,49
2028,8,745,49
2028,9,42679,49
2028,10,19846,49
2028,11,3348,49
2028,12,16315,49
2028,1,9324,57
2028,2,9928,57
2028,3,25201,57
2028,4,17123,57
2028,5,17231,57
2028,6,11966,57
2028,7,40350,57
2028,8,162,57
2028,9,13886,57
2028,10,9613,57
2028,11,1445,57
2028,12,3903,57
2029,1,12934,11
2029,2,17449,11
2029,3,45123,11
2029,4,20307,11
2029,5,16894,11
2029,6,25720,11
2029,7,56048,11
2029,8,167,11
2029,9,19247,11
2029,10,13060,11
2029,11,1061,11
2029,12,6424,11
2029,1,65461,35
2029,2,65519,35
2029,3,157324,35
2029,4,92248,35
2029,5,67866,35
2029,6,160991,35
2029,7,295157,35
2029,8,3727,35
2029,9,80589,35
2029,10,105385,35
2029,11,1328,35
2029,12,34212,35
2029,1,26915,49
2029,2,40240,49
2029,3,68561,49
2029,4,43678,49
2029,5,25340,49
2029,6,75098,49
2029,7,109397,49
2029,8,771,49
2029,9,43168,49
2029,10,19935,49
2029,11,3336,49
2029,12,16649,49
2029,1,9406,57
2029,2,10199,57
2029,3,25340,57
2029,4,17364,57
2029,5,17584,57
2029,6,12189,57
2029,7,40834,57
2029,8,169,57
2029,9,13901,57
2029,10,9571,57
2029,11,1444,57
2029,12,3946,57
2030,1,13321,11
2030,2,17544,11
2030,3,45653,11
2030,4,20685,11
2030,5,17034,11
2030,6,25887,11
2030,7,55978,11
2030,8,171,11
2030,9,19398,11
2030,10,12977,11
2030,11,1068,11
2030,12,6463,11
2030,1,67426,35
2030,2,66159,35
2030,3,159064,35
2030,4,93942,35
2030,5,68434,35
2030,6,162579,35
2030,7,295601,35
2030,8,3796,35
2030,9,80987,35
2030,10,105148,35
2030,11,1335,35
2030,12,34621,35
2030,1,27875,49
2030,2,40597,49
2030,3,69386,49
2030,4,44611,49
2030,5,25570,49
2030,6,75868,49
2030,7,110218,49
2030,8,795,49
2030,9,43519,49
2030,10,19906,49
2030,11,3317,49
2030,12,16825,49
2030,1,9646,57
2030,2,10281,57
2030,3,25497,57
2030,4,17579,57
2030,5,17762,57
2030,6,12243,57
2030,7,40832,57
2030,8,175,57
2030,9,13938,57
2030,10,9502,57
2030,11,1434,57
2030,12,3970,57
2031,1,13128,11
2031,2,17809,11
2031,3,45787,11
2031,4,21175,11
2031,5,17191,11
2031,6,25895,11
2031,7,56163,11
2031,8,175,11
2031,9,19762,11
2031,10,12901,11
2031,11,1077,11
2031,12,6474,11
2031,1,66409,35
2031,2,67461,35
2031,3,161328,35
2031,4,96048,35
2031,5,69043,35
2031,6,163110,35
2031,7,296450,35
2031,8,3857,35
2031,9,82190,35
2031,10,104942,35
2031,11,1339,35
2031,12,34821,35
2031,1,27599,49
2031,2,41272,49
2031,3,70124,49
2031,4,45689,49
2031,5,25765,49
2031,6,76050,49
2031,7,111061,49
2031,8,816,49
2031,9,44234,49
2031,10,19898,49
2031,11,3291,49
2031,12,16969,49
2031,1,9458,57
2031,2,10457,57
2031,3,25480,57
2031,4,17849,57
2031,5,17986,57
