parcel_id,TAZID_900,max_dua,max_far,year,type1,type2,type3,type4,type5,type6,type7,type8,locnote,mponote,AreaName
1,832.0,13.0,2.6,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Bountiful Downtown
3,867.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
5,825.0,8.1,1.6,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Gateway Crossing
6,791.0,,0.8,2023.0,0,0,0,1,1,0,0,0,WFRCCenters,WFRC,Sheep Lane Employment District
13,881.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
16,881.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
17,881.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
18,877.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
19,878.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
20,867.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
21,867.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
22,867.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
23,867.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
24,867.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
25,867.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
26,867.0,,0.3,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
27,752.0,6.5,1.4,2037.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
28,729.0,,0.3,2023.0,0,0,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Industrial Center
29,729.0,,0.3,2023.0,0,0,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Industrial Center
30,703.0,16.2,2.5,2023.0,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
31,663.0,5.7,1.9,2023.0,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,East Antelope Center
32,694.0,16.2,0.3,2023.0,0,1,0,0,1,0,0,0,Special District,WFRC,Weber State University Davis
34,691.0,,0.7,2023.0,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,East Gate Business Center
36,845.0,13.0,2.0,2031.0,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Renaissance Towne Center
37,864.0,8.1,1.6,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Woods Cross Station
39,830.0,13.0,2.0,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Bountiful 200 West
40,831.0,13.0,2.0,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Bountiful 200 West
41,806.0,8.1,1.4,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Legacy Crossing
44,752.0,6.5,1.4,2037.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
45,752.0,6.5,1.4,2037.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
49,705.0,16.2,2.5,2023.0,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
50,704.0,16.2,2.5,2023.0,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
51,705.0,16.2,2.5,2023.0,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
52,701.0,16.2,2.5,2023.0,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
56,659.0,16.2,2.2,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Clearfield
58,646.0,16.2,2.2,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Clearfield
60,747.0,6.5,1.4,2037.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
61,826.0,8.1,1.6,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Pages Lane Center
62,855.0,9.7,2.5,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,2600 South Center
63,847.0,13.0,2.0,2031.0,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Orchard Drive 2200 South
65,752.0,6.5,1.4,2037.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
66,747.0,6.5,1.4,2037.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
67,720.0,16.2,2.5,2023.0,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
68,660.0,16.2,2.2,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Clearfield
331,807.0,17.0,1.9,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Centerville Downtown
349,861.0,16.2,0.8,2023.0,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Legacy Gateway
370,777.0,24.3,2.5,2031.0,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,East Park Lane
376,775.0,16.2,2.5,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Station
461,601.0,16.2,1.8,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,West Point City Center
464,668.0,16.2,1.8,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Syracuse SR 193 Center
465,668.0,16.2,1.8,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Syracuse SR 193 Center
475,658.0,16.2,2.2,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Clearfield
518,585.0,8.1,1.4,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,West Point West Davis
519,585.0,8.1,1.4,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,West Point West Davis
520,585.0,8.1,1.4,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,West Point West Davis
523,587.0,8.1,1.4,2023.0,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,West Point West Davis
