;TAZID,;CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CO_NAME
1,30001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
2,30002,16,42,2.625,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
3,30003,26,70,2.6923076923076925,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
4,30004,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
5,30005,68,206,3.0294117647058822,2,0,0,2,14,0,0,0,0,0,0,2,0,0,0,8,4,BOX ELDER
6,30006,4,10,2.5,9,0,9,0,10,0,0,0,9,0,0,0,0,0,0,1,0,BOX ELDER
7,30007,42,114,2.7142857142857144,37,2,29,6,255,2,0,0,29,0,0,0,6,209,0,5,4,BOX ELDER
8,30008,53,161,3.037735849056604,56,18,0,38,65,18,0,0,0,36,0,0,2,0,0,5,4,BOX ELDER
9,30009,16,43,2.6875,96,0,96,0,99,0,0,0,96,0,0,0,0,0,0,2,1,BOX ELDER
10,30010,24,63,2.625,99,0,99,0,103,0,0,0,99,0,0,0,0,0,0,3,1,BOX ELDER
11,30011,9,25,2.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
12,30012,19,54,2.8421052631578947,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,BOX ELDER
13,30013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
14,30014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
15,30015,1,3,3.0,269,0,260,9,319,0,0,104,156,0,0,0,9,47,0,3,0,BOX ELDER
16,30016,1,3,3.0,107,0,86,21,115,0,0,7,79,0,0,0,21,0,0,8,0,BOX ELDER
17,30017,4,11,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
18,30018,0,0,0.0,677,0,677,0,685,0,0,446,231,0,0,0,0,0,0,8,0,BOX ELDER
19,30019,261,785,3.007662835249042,28,16,11,1,57,16,0,0,11,1,0,0,0,0,0,17,12,BOX ELDER
20,30020,176,405,2.301136363636364,124,13,66,45,151,13,0,64,2,0,0,0,45,0,0,16,11,BOX ELDER
21,30021,0,0,0.0,410,0,410,0,416,0,0,368,42,0,0,0,0,0,0,6,0,BOX ELDER
22,30022,2,6,3.0,9,0,9,0,9,0,0,9,0,0,0,0,0,0,0,0,0,BOX ELDER
23,30023,4,11,2.75,51,0,51,0,52,0,0,22,29,0,0,0,0,0,0,1,0,BOX ELDER
24,30024,154,464,3.012987012987013,2,0,0,2,17,0,0,0,0,0,0,1,1,0,0,9,6,BOX ELDER
25,30025,320,950,3.0142857142857142,142,5,2,135,196,5,0,0,2,1,113,17,4,0,0,32,22,BOX ELDER
26,30026,206,499,2.559322033898305,198,21,32,145,234,20,1,12,20,0,51,75,19,0,0,22,14,BOX ELDER
27,30027,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
28,30028,1,3,3.0,75,0,75,0,80,0,0,75,0,0,0,0,0,0,0,5,0,BOX ELDER
29,30029,254,732,2.888475836431226,2,0,2,0,28,0,0,0,2,0,0,0,0,0,0,15,11,BOX ELDER
30,30030,306,602,2.1041666666666665,103,14,9,80,160,14,0,0,9,42,0,29,9,0,0,34,23,BOX ELDER
31,30031,240,515,2.196078431372549,226,74,75,77,264,5,69,75,0,40,0,0,37,0,0,23,15,BOX ELDER
32,30032,100,228,2.5615384615384613,2,0,2,0,22,0,0,0,2,0,0,0,0,0,0,11,9,BOX ELDER
33,30033,159,311,2.201058201058201,16,0,15,1,40,0,0,0,15,1,0,0,0,0,0,14,10,BOX ELDER
34,30034,202,489,2.560344827586207,20,2,13,5,53,2,0,13,0,5,0,0,0,0,0,19,14,BOX ELDER
35,30035,295,663,2.3630769230769237,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,27,20,BOX ELDER
36,30036,91,208,2.2857142857142856,9,0,9,0,23,0,0,2,7,0,0,0,0,0,0,8,6,BOX ELDER
