;TAZID,;CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CO_NAME
84,30084,0,0,0.0,241,132,4,105,244,90,42,0,4,6,71,13,15,0,0,3,0,BOX ELDER
85,30085,47,142,3.021276595744681,142,3,22,117,150,3,0,0,22,5,0,70,42,0,0,6,2,BOX ELDER
86,30086,1,3,3.0,70,70,0,0,70,44,26,0,0,0,0,0,0,0,0,0,0,BOX ELDER
87,30087,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
88,30088,4,11,2.75,0,0,0,0,28,0,0,0,0,0,0,0,0,28,0,0,0,BOX ELDER
89,30089,75,230,3.066666666666667,320,273,10,37,330,3,270,0,10,0,0,0,37,0,0,8,2,BOX ELDER
90,30090,60,182,3.033333333333333,868,617,18,233,889,528,89,18,0,167,57,0,9,0,0,17,4,BOX ELDER
91,30091,227,694,3.05726872246696,151,0,4,147,186,0,0,0,4,122,0,2,23,0,0,21,14,BOX ELDER
92,30092,237,723,3.050632911392405,70,0,9,61,101,0,0,7,2,11,0,19,31,0,0,18,13,BOX ELDER
93,30093,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
94,30094,24,77,3.208333333333333,10,0,9,1,13,0,0,0,9,1,0,0,0,0,0,2,1,BOX ELDER
95,30095,279,899,3.2222222222222223,128,50,3,75,171,0,50,0,3,5,12,26,32,0,0,26,17,BOX ELDER
96,30096,276,843,3.0543478260869565,50,34,0,16,98,17,17,0,0,0,0,9,7,0,0,28,20,BOX ELDER
97,30097,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
98,30098,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
99,30099,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
100,30100,23,61,2.652173913043478,2,0,0,2,5,0,0,0,0,0,0,2,0,0,0,2,1,BOX ELDER
101,30101,506,1365,2.697628458498024,116,16,10,90,200,2,14,0,10,5,19,24,42,0,11,43,30,BOX ELDER
102,30102,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
103,30103,251,677,2.697211155378486,13,0,9,4,46,0,0,0,9,0,0,2,2,0,0,20,13,BOX ELDER
104,30104,75,203,2.7066666666666666,131,0,2,129,144,0,0,2,0,0,129,0,0,0,0,8,5,BOX ELDER
105,30105,31,79,2.548387096774193,10,6,0,4,15,0,6,0,0,0,0,0,4,0,0,3,2,BOX ELDER
106,30106,8,22,2.75,10,10,0,0,538,10,0,0,0,0,0,0,0,525,0,2,1,BOX ELDER
107,30107,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
108,30108,92,270,2.4545454545454546,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
109,30109,0,0,0.0,14,0,0,14,14,0,0,0,0,0,14,0,0,0,0,0,0,BOX ELDER
110,30110,2,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
111,30111,0,0,0.0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,BOX ELDER
112,30112,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
113,30113,29,73,2.5172413793103448,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,1,BOX ELDER
114,30114,37,98,2.6486486486486487,2,0,2,0,7,0,0,0,2,0,0,0,0,0,0,3,2,BOX ELDER
115,30115,0,0,0.0,61,61,0,0,62,61,0,25,0,25,0,0,0,0,0,1,0,BOX ELDER
116,30116,0,0,0.0,41,0,41,0,41,0,0,41,0,0,0,0,0,0,0,0,0,BOX ELDER
117,30117,23,58,2.5217391304347827,24,24,0,0,51,23,1,0,0,0,0,0,0,0,0,26,1,BOX ELDER
118,30118,5,13,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
119,30119,32,112,0.0,40,0,0,40,41,0,0,0,0,0,40,0,0,0,0,1,0,BOX ELDER
120,30120,26,66,2.5384615384615383,4,2,0,2,26,2,0,0,0,0,0,0,2,0,0,21,1,BOX ELDER
121,30121,54,137,2.537037037037037,4,0,2,2,18,0,0,0,2,0,0,0,2,0,8,4,2,BOX ELDER
122,30122,17,44,2.588235294117647,2,0,2,0,5,0,0,2,0,0,0,0,0,0,0,2,1,BOX ELDER
123,30123,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
124,30124,113,319,2.555555555555556,2,0,0,2,14,0,0,0,0,0,0,0,2,0,0,7,5,BOX ELDER
125,30125,72,183,2.5416666666666665,75,0,0,75,87,0,0,0,0,14,61,0,0,0,0,7,5,BOX ELDER
126,30126,209,553,2.645933014354067,9,0,8,1,39,0,0,6,2,0,0,1,0,0,0,17,13,BOX ELDER
127,30127,56,173,2.5416666666666665,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10,7,BOX ELDER
128,30128,96,244,2.5416666666666665,12,0,10,2,22,0,0,0,10,0,0,0,2,0,0,6,4,BOX ELDER
129,30129,79,201,2.5443037974683542,2,0,0,2,4,0,0,0,0,2,0,0,0,0,0,1,1,BOX ELDER
130,30130,54,142,2.6296296296296298,1,0,1,0,13,0,0,1,0,0,0,0,0,0,0,7,5,BOX ELDER
131,30131,130,344,2.646153846153846,3,0,2,1,14,0,0,2,0,0,0,0,1,0,0,6,5,BOX ELDER
132,30132,38,101,2.6578947368421053,5,1,4,0,153,1,0,4,0,0,0,0,0,143,0,3,2,BOX ELDER
133,30133,233,625,2.5522388059701493,7,0,0,7,34,0,0,0,0,3,0,0,4,0,0,16,11,BOX ELDER
134,30134,2,5,2.5,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,1,0,BOX ELDER
135,30135,7,18,2.571428571428572,7,0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,BOX ELDER
136,30136,210,583,2.646067415730337,44,9,10,25,71,9,0,0,10,11,0,0,14,0,0,16,11,BOX ELDER
137,30137,5,12,2.4,57,0,57,0,58,0,0,0,57,0,0,0,0,0,0,1,0,BOX ELDER
138,30138,208,561,2.551136363636364,65,0,12,53,99,0,0,12,0,33,0,3,17,0,0,23,11,BOX ELDER
139,30139,80,238,2.625,14,0,0,14,56,0,0,0,0,0,14,0,0,0,36,4,2,BOX ELDER
140,30140,4,8,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
141,30141,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
142,30142,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
143,30143,66,167,2.5303030303030303,124,41,83,0,186,41,0,14,69,0,0,0,0,0,0,57,5,BOX ELDER
144,30144,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
145,30145,17,39,2.294117647058824,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
146,30146,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
147,30147,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
148,30148,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
149,30149,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
150,30150,524,1815,3.463740458015267,166,59,5,102,227,30,29,1,4,11,53,10,28,0,0,36,25,BOX ELDER
151,30151,38,133,3.5,24,0,24,0,27,0,0,24,0,0,0,0,0,0,0,2,1,BOX ELDER
152,30152,4,9,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
153,30153,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
