;TAZID,;CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CO_NAME
1,30001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
2,30002,14,40,2.857142857142857,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,BOX ELDER
3,30003,23,66,2.869565217391304,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,BOX ELDER
4,30004,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
5,30005,60,195,3.25,2,0,0,2,12,0,0,0,0,0,0,2,0,0,0,7,3,BOX ELDER
6,30006,3,9,3.0,7,0,7,0,8,0,0,0,7,0,0,0,0,0,0,1,0,BOX ELDER
7,30007,37,107,2.891891891891892,32,2,25,5,251,2,0,0,25,0,0,0,5,212,0,4,3,BOX ELDER
8,30008,47,152,3.234042553191489,56,17,0,39,63,17,0,0,0,37,0,0,2,0,0,4,3,BOX ELDER
9,30009,14,41,2.9285714285714284,84,0,84,0,86,0,0,0,84,0,0,0,0,0,0,1,1,BOX ELDER
10,30010,21,60,2.857142857142857,86,0,86,0,89,0,0,0,86,0,0,0,0,0,0,2,1,BOX ELDER
11,30011,8,23,2.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
12,30012,16,51,3.1875,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,BOX ELDER
13,30013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
14,30014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
15,30015,1,3,3.0,239,0,231,8,290,0,0,95,136,0,0,0,8,48,0,3,0,BOX ELDER
16,30016,1,3,3.0,94,0,75,19,101,0,0,6,69,0,0,0,19,0,0,7,0,BOX ELDER
17,30017,3,10,3.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
18,30018,0,0,0.0,608,0,608,0,615,0,0,407,201,0,0,0,0,0,0,7,0,BOX ELDER
19,30019,229,743,3.2445414847161573,25,15,9,1,51,15,0,0,9,1,0,0,0,0,0,15,11,BOX ELDER
20,30020,155,383,2.470967741935484,113,12,60,41,137,12,0,58,2,0,0,0,41,0,0,14,10,BOX ELDER
21,30021,0,0,0.0,371,0,371,0,376,0,0,335,36,0,0,0,0,0,0,5,0,BOX ELDER
22,30022,2,6,3.0,8,0,8,0,8,0,0,8,0,0,0,0,0,0,0,0,0,BOX ELDER
23,30023,3,10,3.333333333333333,45,0,45,0,46,0,0,20,25,0,0,0,0,0,0,1,0,BOX ELDER
24,30024,135,439,3.251851851851852,2,0,0,2,15,0,0,0,0,0,0,1,1,0,0,8,5,BOX ELDER
25,30025,308,999,3.243506493506493,134,5,2,127,181,5,0,0,2,1,107,15,4,0,0,28,19,BOX ELDER
26,30026,207,572,2.763285024154589,180,20,29,131,211,19,1,11,18,0,48,65,18,0,0,19,12,BOX ELDER
27,30027,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
28,30028,1,3,3.0,68,0,68,0,72,0,0,68,0,0,0,0,0,0,0,4,0,BOX ELDER
29,30029,237,735,3.1012658227848102,2,0,2,0,25,0,0,0,2,0,0,0,0,0,0,13,10,BOX ELDER
30,30030,296,669,2.260135135135135,95,13,7,75,144,13,0,0,7,42,0,25,8,0,0,29,20,BOX ELDER
31,30031,224,530,2.3660714285714284,216,74,69,73,249,5,69,69,0,40,0,0,33,0,0,20,13,BOX ELDER
32,30032,115,315,2.739130434782609,2,0,2,0,19,0,0,0,2,0,0,0,0,0,0,9,8,BOX ELDER
33,30033,166,393,2.3674698795180724,14,0,13,1,35,0,0,0,13,1,0,0,0,0,0,12,9,BOX ELDER
34,30034,204,563,2.7598039215686274,19,2,12,5,47,2,0,12,0,5,0,0,0,0,0,16,12,BOX ELDER
35,30035,286,727,2.541958041958042,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,23,17,BOX ELDER
36,30036,80,197,2.4625,9,0,9,0,21,0,0,2,7,0,0,0,0,0,0,7,5,BOX ELDER
