;TAZID,;CO_TAZID,CO_NAME,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1,30001,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30002,BOX ELDER,24,54,2.25,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,2
3,30003,BOX ELDER,40,91,2.275,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,2
4,30004,BOX ELDER,1,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,30005,BOX ELDER,104,267,2.5673076923076925,2,0,0,2,19,0,0,0,0,0,0,2,0,0,0,11,6
6,30006,BOX ELDER,6,13,2.1666666666666665,7,0,7,0,8,0,0,0,7,0,0,0,0,0,0,1,0
7,30007,BOX ELDER,65,148,2.276923076923077,34,2,25,7,255,2,0,0,25,0,0,0,7,209,0,6,6
8,30008,BOX ELDER,81,208,2.567901234567901,70,21,0,49,82,21,0,0,0,47,0,0,2,0,0,6,6
9,30009,BOX ELDER,24,56,2.3333333333333335,84,0,84,0,89,0,0,0,84,0,0,0,0,0,0,3,2
10,30010,BOX ELDER,36,82,2.2777777777777777,87,0,87,0,93,0,0,0,87,0,0,0,0,0,0,4,2
11,30011,BOX ELDER,13,32,2.4615384615384617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30012,BOX ELDER,29,69,2.3793103448275863,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,2
13,30013,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,30014,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30015,BOX ELDER,1,4,4.0,271,0,260,11,323,0,0,124,136,0,0,0,11,48,0,4,0
16,30016,BOX ELDER,1,4,4.0,103,0,77,26,113,0,0,8,69,0,0,0,26,0,0,10,0
17,30017,BOX ELDER,6,14,2.3333333333333335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,30018,BOX ELDER,0,0,0.0,732,0,732,0,743,0,0,530,202,0,0,0,0,0,0,11,0
19,30019,BOX ELDER,395,1019,2.579746835443038,30,19,10,1,70,19,0,0,10,1,0,0,0,0,0,21,19
20,30020,BOX ELDER,267,526,1.9700374531835205,145,15,77,53,183,15,0,75,2,0,0,0,53,0,0,21,17
21,30021,BOX ELDER,0,0,0.0,473,0,473,0,481,0,0,437,36,0,0,0,0,0,0,8,0
22,30022,BOX ELDER,4,9,2.25,10,0,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0
23,30023,BOX ELDER,6,14,2.3333333333333335,52,0,52,0,53,0,0,26,26,0,0,0,0,0,0,1,0
