;TAZID,;CO_TAZID,CO_NAME,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1,30001,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30002,BOX ELDER,20,48,2.4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
3,30003,BOX ELDER,34,81,2.3823529411764706,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
4,30004,BOX ELDER,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,30005,BOX ELDER,87,236,2.7126436781609193,2,0,0,2,16,0,0,0,0,0,0,2,0,0,0,9,5
6,30006,BOX ELDER,5,11,2.2,7,0,7,0,8,0,0,0,7,0,0,0,0,0,0,1,0
7,30007,BOX ELDER,54,131,2.425925925925926,35,2,26,7,256,2,0,0,26,0,0,0,7,211,0,5,5
8,30008,BOX ELDER,67,185,2.7611940298507465,64,20,0,44,74,20,0,0,0,42,0,0,2,0,0,5,5
9,30009,BOX ELDER,20,49,2.45,89,0,89,0,92,0,0,0,89,0,0,0,0,0,0,2,1
10,30010,BOX ELDER,30,73,2.433333333333333,91,0,91,0,95,0,0,0,91,0,0,0,0,0,0,3,1
11,30011,BOX ELDER,11,28,2.5454545454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30012,BOX ELDER,24,62,2.5833333333333335,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1
13,30013,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,30014,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30015,BOX ELDER,1,3,3.0,271,0,261,10,323,0,0,117,144,0,0,0,10,49,0,3,0
16,30016,BOX ELDER,1,3,3.0,106,0,81,25,114,0,0,8,73,0,0,0,25,0,0,8,0
17,30017,BOX ELDER,5,12,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,30018,BOX ELDER,0,0,0.0,711,0,711,0,720,0,0,498,213,0,0,0,0,0,0,9,0
19,30019,BOX ELDER,331,904,2.731117824773414,29,18,10,1,62,18,0,0,10,1,0,0,0,0,0,17,16
20,30020,BOX ELDER,224,466,2.080357142857143,138,14,73,51,170,14,0,71,2,0,0,0,51,0,0,17,15
21,30021,BOX ELDER,0,0,0.0,449,0,449,0,455,0,0,411,38,0,0,0,0,0,0,6,0
22,30022,BOX ELDER,4,8,2.0,10,0,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0
23,30023,BOX ELDER,5,12,2.4,51,0,51,0,52,0,0,24,27,0,0,0,0,0,0,1,0
