;TAZID,;CO_TAZID,CO_NAME,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1,30001,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30002,BOX ELDER,18,45,2.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
3,30003,BOX ELDER,30,75,2.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
4,30004,BOX ELDER,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,30005,BOX ELDER,77,219,2.844155844155844,2,0,0,2,15,0,0,0,0,0,0,2,0,0,0,9,4
6,30006,BOX ELDER,4,10,2.5,8,0,8,0,9,0,0,0,8,0,0,0,0,0,0,1,0
7,30007,BOX ELDER,48,122,2.5416666666666665,35,2,27,6,255,2,0,0,27,0,0,0,6,211,0,5,4
8,30008,BOX ELDER,60,172,2.8666666666666667,60,19,0,41,69,19,0,0,0,39,0,0,2,0,0,5,4
9,30009,BOX ELDER,18,46,2.5555555555555554,91,0,91,0,94,0,0,0,91,0,0,0,0,0,0,2,1
10,30010,BOX ELDER,27,68,2.5185185185185186,94,0,94,0,98,0,0,0,94,0,0,0,0,0,0,3,1
11,30011,BOX ELDER,10,26,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30012,BOX ELDER,21,57,2.7142857142857144,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1
13,30013,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,30014,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30015,BOX ELDER,1,3,3.0,270,0,260,10,322,0,0,112,148,0,0,0,10,49,0,3,0
16,30016,BOX ELDER,1,3,3.0,105,0,82,23,113,0,0,7,75,0,0,0,23,0,0,8,0
17,30017,BOX ELDER,4,11,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,30018,BOX ELDER,0,0,0.0,696,0,696,0,705,0,0,477,219,0,0,0,0,0,0,9,0
19,30019,BOX ELDER,295,839,2.8440677966101693,29,17,11,1,60,17,0,0,11,1,0,0,0,0,0,17,14
20,30020,BOX ELDER,200,432,2.16,130,13,70,47,160,13,0,68,2,0,0,0,47,0,0,17,13
21,30021,BOX ELDER,0,0,0.0,433,0,433,0,439,0,0,394,39,0,0,0,0,0,0,6,0
22,30022,BOX ELDER,3,7,2.3333333333333335,9,0,9,0,9,0,0,9,0,0,0,0,0,0,0,0,0
23,30023,BOX ELDER,4,11,2.75,51,0,51,0,52,0,0,23,28,0,0,0,0,0,0,1,0
24,30024,BOX ELDER,174,495,2.8448275862068964,2,0,0,2,20,0,0,0,0,0,0,1,1,0,0,10,8
25,30025,BOX ELDER,345,952,2.7594202898550724,150,6,2,142,210,6,0,0,2,1,118,19,4,0,0,34,26
26,30026,BOX ELDER,216,471,2.1805555555555554,210,22,33,155,248,21,1,14,19,0,53,81,21,0,0,23,15
27,30027,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,30028,BOX ELDER,1,3,3.0,79,0,79,0,84,0,0,79,0,0,0,0,0,0,0,5,0
29,30029,BOX ELDER,279,755,2.706093189964158,2,0,2,0,31,0,0,0,2,0,0,0,0,0,0,16,13
30,30030,BOX ELDER,330,580,1.7575757575757576,107,14,8,85,170,14,0,0,8,45,0,31,9,0,0,36,27
