;TAZID,;CO_TAZID,CO_NAME,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1,30001,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30002,BOX ELDER,19,47,2.473684210526316,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
3,30003,BOX ELDER,32,78,2.4375,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
4,30004,BOX ELDER,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,30005,BOX ELDER,83,229,2.7590361445783134,2,0,0,2,16,0,0,0,0,0,0,2,0,0,0,9,5
6,30006,BOX ELDER,5,11,2.2,7,0,7,0,8,0,0,0,7,0,0,0,0,0,0,1,0
7,30007,BOX ELDER,52,127,2.4423076923076925,35,2,26,7,256,2,0,0,26,0,0,0,7,211,0,5,5
8,30008,BOX ELDER,64,179,2.796875,62,19,0,43,72,19,0,0,0,41,0,0,2,0,0,5,5
9,30009,BOX ELDER,19,48,2.526315789473684,90,0,90,0,93,0,0,0,90,0,0,0,0,0,0,2,1
10,30010,BOX ELDER,29,71,2.4482758620689653,92,0,92,0,96,0,0,0,92,0,0,0,0,0,0,3,1
11,30011,BOX ELDER,10,27,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30012,BOX ELDER,23,60,2.608695652173913,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1
13,30013,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,30014,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30015,BOX ELDER,1,3,3.0,270,0,260,10,322,0,0,115,145,0,0,0,10,49,0,3,0
16,30016,BOX ELDER,1,3,3.0,105,0,81,24,113,0,0,7,74,0,0,0,24,0,0,8,0
17,30017,BOX ELDER,5,12,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,30018,BOX ELDER,0,0,0.0,705,0,705,0,714,0,0,490,215,0,0,0,0,0,0,9,0
19,30019,BOX ELDER,315,876,2.780952380952381,28,17,10,1,60,17,0,0,10,1,0,0,0,0,0,17,15
