,parcel_id,county_id
0,21,57
1,31,57
2,32,57
3,36,57
4,37,57
5,38,57
6,40,57
7,41,57
8,42,57
9,43,57
10,44,57
11,45,57
12,46,57
13,47,57
14,48,57
15,49,57
16,50,57
17,51,57
18,52,57
19,53,57
20,54,57
21,55,57
22,56,57
23,57,57
24,58,57
25,59,57
26,60,57
27,61,57
28,62,57
29,63,57
30,64,57
31,65,57
32,66,57
33,67,57
34,68,57
35,69,57
36,70,57
37,71,57
38,72,57
39,73,57
40,74,57
41,75,57
42,76,57
43,77,57
44,78,57
45,79,57
46,80,57
47,81,57
48,82,57
49,83,57
50,84,57
51,85,57
52,86,57
53,87,57
54,88,57
55,89,57
56,90,57
57,91,57
58,92,57
59,93,57
60,94,57
61,95,57
62,96,57
63,97,57
64,98,57
65,99,57
66,100,57
67,101,57
68,102,57
69,103,57
70,104,57
71,105,57
72,106,57
73,107,57
74,108,57
75,109,57
76,110,57
77,111,57
78,112,57
79,113,57
80,115,57
81,116,57
82,117,57
83,118,57
84,119,57
85,120,57
86,121,57
87,122,57
88,123,57
89,124,57
90,125,57
91,126,57
92,127,57
93,128,57
94,129,57
95,130,57
96,131,57
97,132,57
98,133,57
99,134,57
100,135,57
101,136,57
102,137,57
103,138,57
104,139,57
105,140,57
106,141,57
107,142,57
108,143,57
109,144,57
110,145,57
111,146,57
112,147,57
113,148,57
114,149,57
115,150,57
116,151,57
117,152,57
118,153,57
119,154,57
120,155,57
121,156,57
122,157,57
123,158,57
124,159,57
125,160,57
126,161,57
127,162,57
128,163,57
129,164,57
130,165,57
131,166,57
132,167,57
133,168,57
134,169,57
135,170,57
136,171,57
137,172,57
138,173,57
139,174,57
140,175,57
141,176,57
142,177,57
143,178,57
144,179,57
145,180,57
146,181,57
147,182,57
148,183,57
149,184,57
150,185,57
151,186,57
152,187,57
153,188,57
154,189,57
155,190,57
156,191,57
157,192,57
158,193,57
159,194,57
160,195,57
161,196,57
162,197,57
163,198,57
164,199,57
165,200,57
166,201,57
167,220,57
168,222,57
169,242,57
170,244,57
171,249,57
172,250,57
173,251,57
174,252,57
175,254,57
176,255,57
177,275,57
178,281,57
179,282,57
180,283,57
181,284,57
182,285,57
183,286,57
184,287,57
185,288,57
186,290,57
187,291,57
188,292,57
189,293,57
190,294,57
